채용공고명,회사명,마감일,자격면허,고용형태_근무형태,근무조건_지역,모집요강,모집직종,링크,회사 전화번호,담당자 전화번호
[수지구 풍덕천동] 재가요양보호사 모집,예반주간보호센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 있는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 용인시 수지구 진산로 90, ☞ 풍천초등학교 부근 (풍덕천동, 진산마을삼성래미안5차아파트)","*3등급 할머니 케어 → 거동 가능
▶주 5일 근무[(월~금요일) 10:00~13:00 ]
▶시급: 10,030원+주휴수당+연차수당+기타수당=총 13,300원
▶전화 문의 후 지원: ☎. 031-375-8011, 010-9299-8843
☞ 요양보호사자격증, 건강검진결과지 필히 지참.",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10592606040001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-375-8011, 010-9299-8843, 031-375-8057","031-375-8011, 010-9299-8843"
두서면 침대 매트리스 제작 생산직 구인[울주군청 채용대행],주식회사지엔에스컴퍼니,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 5일 근무",울산광역시 울주군 두서면 활천산업1길 12,"▶직무: 침대 매트리스 제작 및 포장
▶시간: 08:30~17:30
▶보수: 시급 10,320원 이상
▶근무지: 울산 울주군 두서면 활천산업1길 12 (주)지엔에스컴퍼니
▶기타: 초보자 가능
☎ 문의: 울주군일자리안내지원센터 052-204-1373",기타 제조 관련 단순 종사원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJGE002606040012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"052-204-1373, 052-204-1368",052-204-1373
요양보호사 모집,성해노인복지센터,2026.08.03 (월) 24:00,"필수
요양보호사2급","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)","경기도 부천시 원미구 계남로 123, . (중동, 한라마을)","-4등급 여자어르신 케어
-09-12
-시급 13000원",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21002606040033&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,032-665-2001,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[가회동 / 3등급 / 할머니 / 13:00~16:00] 재가요양보호사 채용,생생노원재가복지센터,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 종로구 북촌로11가길 37, ` (가회동)","- [가회동 정독도서관 인근] 3등급 할머니 재가요양
- 식사준비, 청소 및 환경관리 등
- 주5일 13:00~16:00
- 기본시급 10,030원 (기타수당포함 13,100원)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAX002606040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-948-9915, 02-948-9916",02-948-9915
[강남구 세곡동 / 4등급 할아버지 / 8시00분~11시00분] 요양보호사 모집,함께재가노인복지센터,2026.06.18 (목) 24:00,"필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)","서울특별시 강남구 헌릉로590길 88 (세곡동, 세곡리엔파크4단지)","- 대 상 자 : 세곡동 세곡리엔파크 4단지/ 4등급 할아버지 (80대 중반)/독거
- 직무내용 : 반찬, 청소 등 가사 및 일상생활 지원
- 근무시간 : 08:00~11:00(주6일) 시간협의 가능
- 시 급 : 10,320원 +기타수당
* 지원문의 : 전화 (010-8373-2561)",요양보호사(노인요양사),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAS002606040021&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-8373-2561, 02-451-6007","010-8373-2561, 02-451-6007"
[목동동] 4등급 재가요양보호사 모집,행복드림방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 15시간)","경기도 파주시 청암로 50, 712동 (목동동, 운정 화성파크드림 시그니처)","4등급 남자어르신 케어(말벗, 산책, 청소)
시간외 근무 있으며 별도 계약 진행(입주)
*실제서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자 마다 주 소정 근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음*",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10722606040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,02-6952-5562,02-6952-5562
[달서구 용산동] 이곡역 인근 3등급 여자어르신 재가요양보호사 모집,큰사랑재가장기요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)",대구광역시 달서구 성지로 12,"[달서구 용산동] 이곡역 인근 3등급 여자어르신 재가요양보호사 모집
- 이곡역 인근 성서주공7단지
- 성지중학교 인근
- 3등급 여자어르신
- 16:00-19:00, 주6일
- 가사지원, 정서, 신체활동지원등
- 문의 : 010-7477-3485",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10872606040011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-7477-3485, 053-627-3485, 053-259-7007","010-7477-3485, 053-627-3485"
[망미동] 재가요양보호사 구인,정드림재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 3일 근무
(주 소정근로시간: 9시간)","부산광역시 수영구 망미배산로24번길 6, 망미역 인근 (망미동)","[망미동] 재가요양보호사 채용정보
○ 근무지: 망미역 인근 주택 (망미배산로24번길)
○ 대상자: 4등급 91세 여자어르신
○ 근무시간: 09:00~12:00/주3일 /(화,목,금) 또는 (화,목,토)
○ 근무내용: 신체활동 및 일상생활지원 등
○ 시근: 10,320원 (주휴수당 및 제수당 별도)
☎ 지원문의: 010-2166-3139 (정드림재가복지센터)
*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금,근무(예정)지 등에 차이가 있을 수 있음",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBI002606040013&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-2166-3139, 051-819-9732",010-2166-3139
의정부 한도한방병원 병동간병사 채용,한도한방병원,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 5일 근무",경기도 의정부시 입석로 36 (가능동),"- 환자 병동 간병사 채용. 자격증 무관 (남자병동근무)
- 근무시간: 아침조 (오전9시 ~오후 18시 / 야간조 오후 17시 ~아침 8시 30분) / 주 5일
(아침조와 야간조로 근무합니다)
* 야간 근무시 수당지급
- 지원방법: 031)877-6081~2 (내선번호 0번) 원무부 부장님과 통화후 지원하세요~",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKZ002606040015&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031)877-6081, 031-877-6081, 031-877-6083",031-877-6081
재가요양보호사 모집,가은재가복지센터,2026.08.03 (월) 24:00,"필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","인천광역시 미추홀구 미추홀대로578번길 76, . (주안동, 연흥아파트)","5등급/남자/ 오후 14-17시
★치매교육이수자만 지원가능!!
자녀와 거주
식사 및 일상도움
수당: 13.500원
주소: 미추홀대로578번길 76
문의: 032-310-8894",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC1102606040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"032-310-8894, 010-2345-4411, 032-446-2022",032-310-8894
건물 미화원 모집[북구청일자리센터 채용대행],그린앤브라운(Green&Brown),"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","울산광역시 남구 법대로14번길 31, . (옥동)","★건물 미화원 모집
- 직무 : 상가 건물 미화업무(계단, 복도, 화장실 등)
- 근무지 : 남구 옥동 법조타운
- 근무시간 : 06:00~09:00, 수요일 06:00~08:30/ 주 5일(공휴일 휴무)
- 임금 : 월급 100만원
- 경력 1년 필수
* 지원방법 : 북구청일자리지원센터 ☎ 052-241-8648","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJGD002606040001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,052-241-8648,052-241-8648
[이태원2동/4등급/오후] 재가요양보호사 구인,해가빛복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 용산구 소월로40길 58, , (이태원동)","[ 이태원2동-이태원2동 주민센터 인근 ] 4등급 할머니 재가요양보호
- 직무내용: 주변정리, 말벗 등
- 장기요양급여 적용 근로시간: 1일 3시간
- 주5일 근무 / 근무시간 : 14:00~17:00
- 시급: 13,000원~13,200원(최저시급 10,320원 + 주휴수당 등 별도)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002606040009&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,070-7580-6185,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
가능동 오전 재가,가나안방문요양지원센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 17시간)","경기도 의정부시 흥선로 3, . (가능동)","- 59년생 3등급 여자어르신, 독거
- 주5일, 토요격주 /오전 9시 - 12시
-장애인 하체 사용 못함, 스스로 이동변기 사용
뇌병변장애 있지만 의사소통 잘함 인지 좋음
휠체어 사용함
-지원희망하시는분 010-5577-4040통화후 면접 보시면 됩니다.",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKZ002606040012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-5577-4040, 031-855-7179, 031-855-7172",031-855-7179
방문요양보호사 채용 (소초면),딩동재가노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","강원특별자치도 원주시 원문로 190-1, 소초면 장양9리 마을회관 근처 (단계동)","○ 직무내용: 70대 남자어르신 방문요양서비스 업무
○ 응시자격: 요양보호사 1급 자격증 *필수
○ 임금: 시급 10,320원 (주휴수당, 기타수당 포함 시 13,300원)
○ 근무시간: 주 5일 (주 15시간), 13:00~16:00
○ 근무장소: 원주시 소초면 검엉터길(장양9리 마을회관 근처)*대상자 주택
※ 상세 주소는 개인정보로 표기하지 않으니 센터로 문의하시기 바랍니다.",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJLJ002606040011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"033-746-7651, 033-746-7652",033-746-7651
[금곡동] 퇴원환자 안심돌봄 서비스 제공인력(1~3개월) 모집공고,(내)뇌청춘재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 있는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","부산광역시 북구 효열로 98, 금곡주공 9단지 (금곡동, 주공아파트)","[금곡동] 퇴원환자 안심돌봄 서비스 제공인력(1~3개월) 모집공고
▷ 대상자 : 퇴원환자 70대 남자어르신 (독거/ 등급 대기중)
▷ 근무장소 : 금곡주공 9단지 아파트 (부산시 북구 효열로 98)
▷ 근무내용 : 가사지원 및 일상생활지원 등의 요양보호사 업무
▷ 근무시간 : 주 5일 09:00~12:00
▷ 급여 : 13.100원(시급+주휴수당+연차수당 등 제수당 포함)
* 2주 긴급 이후 이어서 서비스 가능 (등급 대기중이라 등급 받을시)
* 1~3개월 후 간병이 필요 할 수도 있는 상황이며, 희망시 센터내 대상자 연계 가능
※ 지원문의 : 010-2830-0802(뇌청춘재가복지센터)
* 다만, 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBI002606040012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,010-2830-0802,010-2830-0802
광진트라팰리스아파트 청소원 채용,주식회사삼일시스템,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 33시간)","서울특별시 광진구 뚝섬로34길 67, 자양역 1번출구 인근 (자양동, 광진트라팰리스)","* 광진트라팰리스아파트 계단,복도,엘리베이터 및 상가(2층만) 화장실 청소
- 계단신주 청소 없음
* 수습기간 3개월 적용
* 바로 출근 가능자
* 지원자는 이력서 지참/미화팀장(010-7533-3365)과 통화 후 면접진행","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAG002606040014&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-7533-3365, 02-474-8225",휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[청담동/4등급할아버지/14~17시] 재가 요양보호사 모집,강남효원재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 강남구 삼성로140길 16, 청담역 인근 (청담동, 효성빌라)","- 대상자 : 청담역 인근 4등급 할아버지(79세/부부거주)
- 직무 내용 : 점심식사 준비 및 도와드리리, 청소 및 주변 정리정돈, 옷 갈아입히기, 목욕 등
* 요양보호사 성별 무관하게 지원 가능
- 근무시간 14:00~17:00, 주5일(*부부 모두 4등급으로 희망 시 6시간 근무 가능)
- 시급 10,320원+기타 수당
* 지원 문의 : 전화(010-5495-3736)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAS002606040017&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-5495-3736, 02-6008-9958",010-5495-3736
온양-남울산 노르웨이숲 아파트 미화원구인 [울주군청 채용대행],지산주택주식회사,2026.06.30 (화) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 30시간)",울산광역시 울주군 온양읍 화산발리로 580,"▶ 직무내용 : 남울산 노르웨이숲 아파트 미화 구인 (외곽 미화 2명/내부 미화 8명)
▶ 근무시간 : 평일(09:00-16:00) 토요일(09:00~12:00)근무
▶ 보 수 : 월 1,749,063원~1,849,063원
☎지원문의 : 울주군일자리센터 052-204-1359
※ 업체 요청으로 업체 또는 해당 아파트로 직접 지원을 삼가하여 주시기 바라며,
반드시 고용24 입사지원 및 울주군일자리센터를 통하여 지원해 주시기 바랍니다.","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJGE002606040010&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"052-204-1359, 052-204-1368",052-204-1359
실버효나눔재가센터 (가족휴가제)재가요양보호사 모집(일광),실버효나눔 통합재가센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약
주 5일 근무",부산광역시 기장군 일광읍 일역길 75-38 (선우아파트),"■ 실버효나눔통합재가센터(정관센터)
-- 일광읍 일역길 75
-- 대상자 : 4등급 80대 남자 어르신/ 반려견 / 가족휴가제 요양보호
-- 주 5일, 07:00 ~ 19:00 (기간 협의)
-- 시급 10,320원
-- 전화 문의후 방문접수 - 이력서, 요양보호사 자격증 사본, 건강검진결과지
-- 전화문의 : 051)727-8198
** 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBD002606040005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"051)727-8198, 051-727-8198","051)727-8198, 051-727-8198"
상암월드컵1단지아파트 미화원 구인,（주）을지종합관리,2026.08.03 (월) 24:00,관계없음,"기간의 정함이 있는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 26시간)","서울특별시 마포구 월드컵북로47길 8, . (상암동, 상암월드컵아파트 1단지)","*상암월드컵1단지아파트 미화원 구인
-근무시간 : 08:30-14:30 (격주 토요일 08:30~10:30) 격주토근무
휴게시간 12:00~13:00
-급여 : 월 1,393,200원
-이력서 팩스(02-908-1336)
-문의 : 02-908-1335
**복지카드소지자 우대**
*신주있으나 안닦음","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAN002606040004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-908-1336, 02-908-1335",02-908-1335
[녹번동] 5등급 할머니 요양보호사 채용,미소 방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 은평구 녹번로 37-13, .","[녹번동] 5등급 할머니 요양보호사 채용
- 치매교육이수자
- 신체활동지원, 말벗
- 12:00~15:00 주5일
- 시급: 10,320원(기타수당포함= 13,500원)
- 채용담당자 유선문의
**실제 서비스제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금, 근무(예정)지에 등에 따라 차이가 있을 수 있음",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAW002606040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-979-9080, 031-979-9081",031-979-9080
[논현동/5등급할아버지/10~13시] 재가 요양보호사 모집,강남효원재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 4일 근무
(주 소정근로시간: 12시간)","서울특별시 강남구 봉은사로21길 19, 논현2차한화꿈에그린아파트 (논현동, 논현2차한화꿈에그린아파트)","- 대상자 : 언주역 1번 출구 도보 4분 논현2차한화꿈에그린아파트 5등급 할아버지(73세/보호자는 케어 시간에 부재)
- 직무 내용 : 점심식사 준비, 반찬 만들기, 주변 정리정돈(필요 시), 화장실 청소(2주에 한 번), 인지 프로그램
- 치매 교육 이수 필수
- 근무시간 10:00~13:00, 주4일(항암 치료위한 병원 방문 일정으로 요일은 변동 가능성 있음)
- 시급 10,320원+기타 수당
* 지원 문의 : 전화(010-5495-3736)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAS002606040016&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-5495-3736, 02-6008-9958",010-5495-3736
[팔용동_웨딩의 전당 인근] 재가 요양보호사 구인,창원시티재가노인복지센타,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약
주 6일 근무",경상남도 창원시 의창구 사화로17번길 11 (팔용동),"*모집: 요양보호사 (요양원 근무 경력자 우대)
*채용인원: 1명
*대상: 2등급 할아버지 & 3등급 할머니 (부부케어)
*근무: 주 6일(월~토) 09:00~16:00 (4시간+3시간)
*지역: 창원시 의창구
*시급: 10,320원 (포괄시급: 13,100원)
*업무: 식사도움(반찬O), 신체활동지원(가벼운 체조), 기저귀케어 등
*자격(면허): 요양보호사, 채용건강검진서(1년 이내)
*기타: 요리(반찬) 잘하시는 선생님을 찾습니다.
*문의: 창원새일센터 박유미 055-283-3221",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10802606040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"055-283-3221, 055-283-3050",055-283-3221
[상봉동 중화초 인근] 1등급 여자어르신 오전(11:00~14:00) 주6일 재가요양보호사 구인,다사랑방문요양센타,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 24시간)","서울특별시 중랑구 신내로7가길 31 (상봉동, 동부아파트)","[상봉동 중화초 인근] 1등급 여자어르신 오전(11:00~14:00) 주6일
- 식사 및 일상가사지원
- 따님과 함께 거주중이나 요양시간에는 출근
- 부축하여 화장실 가실 수 있음 (누워계실때는 기저귀 케어 필요)
- 시급: 10,320원(주휴수당+연차수당 포함 13,000원)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAZ002606040005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-491-8855, 02-491-8875",02-491-8855
역삼동 래미안그레이튼3차 미화원 모집,(주)두원에이앤씨,2026.08.03 (월) 24:00,관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 31시간)","서울특별시 강남구 도곡로43길 20, 역삼그레이튼3차 아파트 (역삼동, 래미안 그레이튼)","- 강남구 도곡로 43길 20 역삼그레이튼3차 아파트
- 아파트 청소
- 8-15:30(평일) / 08:00-11:00(토)
- 주6일
- 월 175만원
- 경력자 우대",건물 청소원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAB002606040005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,02-861-5026,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
동구 수정동 요양보호사님을 모집합니다.,기쁨재가요양복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","부산광역시 동구 망양로685번길 11 (수정동, 수정아파트)","- 4등급(76세) 독거 여자어르신/망양로685번길(수정동)
- 09:00 ~ 12:00(주5일)/시급 13000원(제수당 포함)
- 신체활동지원, 가사지원, 외출동행 등 일상적인 업무서비스 희망",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBE002606040006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-2631-0692, 051-2631-0692, 051-441-7211",051-2631-0692
[다대동] 재가요양보호사 채용,좋은돌봄협동조합,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","부산광역시 사하구 다대낙조2길 50 (다대동, 도시몰운대임대아파트)","[좋은돌봄재가노인복지센터]
- 다대동 도시몰운대임대아파트
- 5등급 81세 여자어르신/독거
-치매교육이수
- 주5일 9~12시
- 반찬위주
- 시급 10,320원 (주휴,연차수당 등 별도)/( 13,500원(주휴,연차수당 포함)
- 문의 : 010-6580-6184",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBC002606040009&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-6580-6184, 051-512-9301",010-6580-6184
군 마트 영외 주차관리 및 주변정리,국군복지단,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 5일 근무","경기도 화성시 효행구 매송면 화성로 2435, 국군복지단 전승마트 (칠보아파트)","군 마트 영외 주차관리 및 주변정리
◆ 군 마트 영외 에서 주차 질서 관리 해주실 분을 모집합니다
-주차업무 경력자 우대
◆ 근무시간 : 주5일 10:00~16:30 (휴게시간 30분)
◆ 시급 : 10,320원
◆ 근무지 : 경기도 화성시 매송면 화성로 2435",주차 관리원 및 안내원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJK6002606040018&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,031-8218-0240,031-8218-0240
[방문요양: 안양예술공원 인근]병원동행(주2회/주3회) 요양보호사 구인,천사의방문 사회적협동조합,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 2일 근무
(주 소정근로시간: 7시간)","경기도 안양시 만안구 예술공원로103번길 31-6, 안양예술공원,김중업박물관인근 (석수동, 삼호그린빌라)","- 안양예술공원 인근 거주, 50대 여자대상자 병원동행서비스 희망
- 거주지 인근 한의원 휠체어로 이동하여 병원 동행(침 맞는시간 한시간 반 정도 소요된다고 하심)
- 주2회(월,수) / 주3회(월,수,금) 09:00~12:00 =>주2회,3회 한주씩 로테이션으로 근로
- 시간당지급총액 14,000원=>기본시급10,320원+제수당포함
- 추가안내사항 : 대상자분 강아지 키우고 계십니다. 참고바랍니다.",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21062606040024&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-5465-5249, 031-464-7119, 031-464-8119",031-464-7119
거제삼성호텔: 객실팀 피트니스(사우나) 사원 채용,지제이글로벌（주）,2026.06.18 (목) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 40시간)","경상남도 거제시 장평3로 80-37, 지원팀 (장평동, 삼성거제호텔)","[중장년내일센터 채용대행 건]
거제삼성호텔에서 피트니스 센터 근무자를 채용합니다.
ㅁ 부서: 객실팀 피트니스
ㅁ 주요직무: 고객응대, 결제, 피트니스센터, 수영장, 사우나 순찰 및 정리정돈, 청소 등
ㅁ 주요자격: 고객응대 가능, 엑셀 가능
ㅁ 채용인원: 2명 (남 사우나실 근무)
ㅁ 근무시간 : 2교대 근무 (근무시간에 따라 휴게시간 별도) 5:30~14:30/ 14:30~23:30
[중장년내일센터 채용대행 건]
* 고용24 구직신청 필수!
* 접수방법: 고용24 입사지원 및 이메일 (geoje4060@naver.com)
* 이메일 접수시 [지원분야-이름] 기재 필수!
* 문의전화: 055-730-1972 고용복지+센터 3번창구",숙박시설 서비스 종사원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0712606040003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-730-1972,055-730-1972
